ElementType,PredefinedType,GlobalId,id,Name,Description,ObjectType,Pset_EnvironmentalImpactIndicators_Reference,Pset_RailingCommon_IsExternal,Pset_RailingCommon_Reference,Pset_RailingCommon_Height,Pset_SpaceCommon_Reference,Pset_SpaceCommon_IsExternal,Pset_SiteCommon_Reference
IfcRailing,NOTDEFINED,3$6mKCz4v4o8_HdrI5bVyX,80795,Railing:Vertikale Stäbe mit Handlauf:2682099,,Railing:Vertikale Stäbe mit Handlauf,Vertikale Stäbe mit Handlauf,False,Vertikale Stäbe mit Handlauf,1.2192,,,
IfcRailing,NOTDEFINED,3$6mKCz4v4o8_HdrI5bUCf,117644,Railing:Vertikale Stäbe mit Handlauf:2683131,,Railing:Vertikale Stäbe mit Handlauf,Vertikale Stäbe mit Handlauf,False,Vertikale Stäbe mit Handlauf,1.2192,,,
IfcBridge,GIRDER,2B9jCywhbBAPv5PLpqgYNX,32,,,,,,,,Project Information,False,
IfcBridgePart,DECK,2ssuoJB5rEgxPlqRO4kY5g,42750,Plattenbalken:Plattenbalken:2545762,,Plattenbalken:Plattenbalken,,,,,Plattenbalken,False,
IfcBridgePart,PIER,0kRT78kK94A9FMWZoC1jgx,42796,STB Stütze - rund:STB Stütze UKA2:2606948,,STB Stütze - rund:STB Stütze UKA2,,,,,STB Stütze UKA2,False,
IfcBridgePart,PIER,0kRT78kK94A9FMWZoC1jNc,42819,STB Stütze - rund:STB Stütze UKA2:2607161,,STB Stütze - rund:STB Stütze UKA2,,,,,STB Stütze UKA2,False,
IfcBridgePart,PIER,0kRT78kK94A9FMWZoC1jMR,42841,STB Stütze - rund:STB Stütze UKA2:2607172,,STB Stütze - rund:STB Stütze UKA2,,,,,STB Stütze UKA2,False,
IfcBridgePart,PIER,0kRT78kK94A9FMWZoC1jTv,42863,STB Stütze - rund:STB Stütze UKA2:2607782,,STB Stütze - rund:STB Stütze UKA2,,,,,STB Stütze UKA2,False,
IfcBridgePart,PIER,0kRT78kK94A9FMWZoC1jTr,42885,STB Stütze - rund:STB Stütze UKA2:2607786,,STB Stütze - rund:STB Stütze UKA2,,,,,STB Stütze UKA2,False,
IfcBridgePart,PIER,0kRT78kK94A9FMWZoC1jTo,42894,STB Stütze - rund:STB Stütze UKA2:2607789,,STB Stütze - rund:STB Stütze UKA2,,,,,STB Stütze UKA2,False,
IfcBridgePart,PIER,0kRT78kK94A9FMWZoC1j7T,42916,STB Stütze - rund:STB Stütze UKA2:2608130,,STB Stütze - rund:STB Stütze UKA2,,,,,STB Stütze UKA2,False,
IfcBridgePart,PIER,0kRT78kK94A9FMWZoC1j7P,42925,STB Stütze - rund:STB Stütze UKA2:2608134,,STB Stütze - rund:STB Stütze UKA2,,,,,STB Stütze UKA2,False,
IfcBridgePart,PIER,0kRT78kK94A9FMWZoC1j7M,42934,STB Stütze - rund:STB Stütze UKA2:2608137,,STB Stütze - rund:STB Stütze UKA2,,,,,STB Stütze UKA2,False,
IfcBridgePart,FOUNDATION,0kRT78kK94A9FMWZoC1iuK,42952,Foundation Slab:STB 750:2610123,,Foundation Slab:STB 750,,,,,STB 750,False,
IfcBridgePart,FOUNDATION,0kRT78kK94A9FMWZoC1iVc,42976,Foundation Slab:STB 750:2611769,,Foundation Slab:STB 750,,,,,STB 750,False,
IfcBridgePart,PIER,0kRT78kK94A9FMWZoC1iEc,42999,STB Stütze - rund:STB Stütze UKA2:2612857,,STB Stütze - rund:STB Stütze UKA2,,,,,STB Stütze UKA2,False,
IfcBridgePart,PIER,0kRT78kK94A9FMWZoC1iDR,43008,STB Stütze - rund:STB Stütze UKA2:2612868,,STB Stütze - rund:STB Stütze UKA2,,,,,STB Stütze UKA2,False,
IfcBridgePart,PIER,0kRT78kK94A9FMWZoC1iDH,43017,STB Stütze - rund:STB Stütze UKA2:2612878,,STB Stütze - rund:STB Stütze UKA2,,,,,STB Stütze UKA2,False,
IfcBridgePart,FOUNDATION,0kRT78kK94A9FMWZoC1iCC,43032,Foundation Slab:STB 750:2612947,,Foundation Slab:STB 750,,,,,STB 750,False,
IfcBridgePart,FOUNDATION,0kRT78kK94A9FMWZoC1iC4,43048,Foundation Slab:STB 750:2612955,,Foundation Slab:STB 750,,,,,STB 750,False,
IfcBridgePart,FOUNDATION,1NPo85Ve97CfXh5JAfjUkp,43067,Foundation Slab:B 100:2614318,,Foundation Slab:B 100,,,,,B 100,False,
IfcBridgePart,FOUNDATION,1NPo85Ve97CfXh5JAfjUaK,43090,Foundation Slab:B 100:2614921,,Foundation Slab:B 100,,,,,B 100,False,
IfcBridgePart,ABUTMENT,16yDax3413NfiV9ItRaWy5,43395,Widerlager_Ost:Widerlager_Ost:2618100,,Widerlager_Ost:Widerlager_Ost,,,,,Widerlager_Ost,False,
IfcBridgePart,FOUNDATION,38QDEArsTBkAcqZHjG1Zoa,43411,Foundation Slab:STB 1250:2649578,,Foundation Slab:STB 1250,,,,,STB 1250,False,
IfcBridgePart,ABUTMENT,38QDEArsTBkAcqZHjG1jl8,43741,Widerlager_West:Widerlager_West:2656902,,Widerlager_West:Widerlager_West,,,,,Widerlager_West,False,
IfcBridgePart,FOUNDATION,2F364W94j5XROPyN$EWq$d,43757,Foundation Slab:STB 1250:2672995,,Foundation Slab:STB 1250,,,,,STB 1250,False,
IfcBridgePart,FOUNDATION,2F364W94j5XROPyN$EWsLy,43776,Foundation Slab:B 100:2679800,,Foundation Slab:B 100,,,,,B 100,False,
IfcBridgePart,FOUNDATION,2F364W94j5XROPyN$EWsy7,43792,Foundation Slab:B 100:2681219,,Foundation Slab:B 100,,,,,B 100,False,
IfcBridgePart,USERDEFINED,3$6mKCz4v4o8_HdrI5bV$i,43815,STB Stütze - rechteckig:Auflager UKA 2:2681918,,STB Stütze - rechteckig:Auflager UKA 2,,,,,Auflager UKA 2,False,
IfcBridgePart,USERDEFINED,3$6mKCz4v4o8_HdrI5bV_G,43825,STB Stütze - rechteckig:Auflager UKA 2:2681922,,STB Stütze - rechteckig:Auflager UKA 2,,,,,Auflager UKA 2,False,
IfcBridgePart,USERDEFINED,3$6mKCz4v4o8_HdrI5bV_N,43834,STB Stütze - rechteckig:Auflager UKA 2:2681925,,STB Stütze - rechteckig:Auflager UKA 2,,,,,Auflager UKA 2,False,
IfcBridgePart,USERDEFINED,3$6mKCz4v4o8_HdrI5bVzF,43856,STB Stütze - rechteckig:Auflager UKA 2:2682013,,STB Stütze - rechteckig:Auflager UKA 2,,,,,Auflager UKA 2,False,
IfcBridgePart,USERDEFINED,3$6mKCz4v4o8_HdrI5bVzo,43865,STB Stütze - rechteckig:Auflager UKA 2:2682016,,STB Stütze - rechteckig:Auflager UKA 2,,,,,Auflager UKA 2,False,
IfcBridgePart,USERDEFINED,3$6mKCz4v4o8_HdrI5bVzn,43874,STB Stütze - rechteckig:Auflager UKA 2:2682019,,STB Stütze - rechteckig:Auflager UKA 2,,,,,Auflager UKA 2,False,
IfcBridgePart,USERDEFINED,3$6mKCz4v4o8_HdrI5bUAo,43896,STB Stütze - rechteckig:Auflager UKA 2:2683232,,STB Stütze - rechteckig:Auflager UKA 2,,,,,Auflager UKA 2,False,
IfcBridgePart,USERDEFINED,3$6mKCz4v4o8_HdrI5bUAs,43905,STB Stütze - rechteckig:Auflager UKA 2:2683236,,STB Stütze - rechteckig:Auflager UKA 2,,,,,Auflager UKA 2,False,
IfcBridgePart,USERDEFINED,3$6mKCz4v4o8_HdrI5bUAr,43914,STB Stütze - rechteckig:Auflager UKA 2:2683239,,STB Stütze - rechteckig:Auflager UKA 2,,,,,Auflager UKA 2,False,
IfcBridgePart,USERDEFINED,3$6mKCz4v4o8_HdrI5bU7J,43936,STB Stütze - rechteckig:Auflager UKA 2:2683393,,STB Stütze - rechteckig:Auflager UKA 2,,,,,Auflager UKA 2,False,
IfcBridgePart,USERDEFINED,3$6mKCz4v4o8_HdrI5bU7_,43945,STB Stütze - rechteckig:Auflager UKA 2:2683436,,STB Stütze - rechteckig:Auflager UKA 2,,,,,Auflager UKA 2,False,
IfcBridgePart,USERDEFINED,3$6mKCz4v4o8_HdrI5bU7z,43954,STB Stütze - rechteckig:Auflager UKA 2:2683439,,STB Stütze - rechteckig:Auflager UKA 2,,,,,Auflager UKA 2,False,
IfcSite,,2B9jCywhbBAPv5PLpqgYNY,35,Default,,,,,,,Project Information,False,Project Information
